Time,NEW,SAME,EXCLUDED
11_15 - 11_38,2,290,1
11_38 - 12_35,12,282,10
12_35 - 13_22,9,285,9
13_22 - 13_39,2,293,1
13_39 - 14_17,11,282,13
14_17 - 14_39,5,290,3
14_39 - 15_19,8,283,12
15_19 - 15_39,2,288,3
15_39 - 16_23,7,285,5
16_23 - 16_42,3,290,2
16_42 - 17_16,4,288,5
17_16 - 17_39,2,290,2
17_39 - 18_22,9,288,4
18_22 - 18_39,5,291,6
18_39 - 19_13,8,289,7
19_13 - 19_39,3,290,7
19_39 - 20_19,9,288,5
20_19 - 20_39,6,291,6
20_39 - 21_14,4,288,9
21_14 - 21_39,5,287,5
21_39 - 22_17,1,282,10
22_17 - 22_39,12,277,6
22_39 - 23_18,5,285,4
23_18 - 23_39,3,290,0
23_39 - 01_27,8,289,4
01_27 - 02_25,3,295,2
02_25 - 02_47,0,298,0
02_47 - 03_19,2,297,1
03_19 - 03_39,0,299,0
03_39 - 04_21,9,295,4
04_21 - 04_39,0,304,0
